Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	Genesat150pct	ParalogWarnings	Year	Herbarium	Project
Oenothera_havardii_Krakos-58KK15	1506859	1123244	0.745	312	310	309	306	288	225	0	21	2016	no	Oenothera
Camissonia_strigulosa_LOL_275	754869	309609	0.41	314	307	305	298	259	174	0	39	2016	no	Oenothera
Oenothera_simulans_MJM_3343	448757	272399	0.607	312	307	307	305	278	201	0	1	2016	no	Oenothera
Oenothera_cavernae_RAL-13-44	1109584	291932	0.263	314	308	308	305	279	218	0	6	2016	no	Oenothera
Epilobium_ciliatum_ciliatum_JLMC_6474	767817	504922	0.658	311	304	303	296	256	155	1	6	2016	no	Oenothera
Oenothera_demareei_RAL_16-06	643986	185563	0.288	312	304	302	296	251	152	0	2	2016	no	Oenothera
Gayophytum_humile_LOL_680	506704	369785	0.73	310	303	303	294	265	163	1	0	2016	no	Oenothera
Camissonia_pusilla_LC_001	510775	387022	0.758	309	303	303	296	257	170	2	34	2016	no	Oenothera
Oenothera_serrulata_bjc56	664137	330054	0.497	256	207	204	188	140	75	0	17	2016	no	Oenothera
Oenothera_stricta_stricta_US2997711_combined	648949	512008	0.789	310	308	307	302	267	182	1	6	2016	no	Oenothera
Clarkia_exilis_MDR_46	255051	191988	0.753	309	294	294	283	243	145	0	16	2016	no	Oenothera
Oenothera_coquimbensis_Chile-Jfant	578781	432282	0.747	309	308	307	303	275	212	0	4	2016	no	Oenothera
Clarkia_xantiana_MJM_3175	1088551	263648	0.242	315	302	302	295	258	159	3	12	2016	no	Oenothera
Gayophytum_eriospermum_TM_214	197955	137842	0.696	309	288	286	276	232	140	1	1	2016	no	Oenothera
Chylismia_munzii_LOL_591	370791	274618	0.741	312	303	303	297	263	191	2	27	2016	no	Oenothera
Clarkia_franciscana_OH_Sianta_1603_A	733405	568134	0.775	310	306	306	300	267	173	0	25	2016	no	Oenothera
Epilobium_canum_MJM_3125	221032	146898	0.665	307	277	276	266	212	99	1	6	2016	no	Oenothera
Oenothera_flava_flava_PK-236	409507	292042	0.713	310	309	309	302	280	196	0	2	2016	no	Oenothera
Oenothera_wigginsii_LOL_665	433077	311127	0.718	312	307	306	302	277	204	0	3	2016	no	Oenothera
Oenothera_toumeyi_bjc26	1183314	502283	0.424	278	212	206	187	139	81	0	2	2016	no	Oenothera
